date,val
2020/9/25,543745
2020/9/26,587948
2020/9/27,602234
2020/9/28,475098
2020/9/29,501091
2020/9/30,423795
2020/10/1,493308
2020/10/2,532607
2020/10/3,552500
2020/10/4,574812
2020/10/5,630879
2020/10/6,661111
2020/10/7,676291
2020/10/8,629309
2020/10/9,544305
2020/10/10,566886
2020/10/11,537508
2020/10/12,474112
2020/10/13,706449
2020/10/14,610097
2020/10/15,609705
2020/10/16,636918
2020/10/17,538993
2020/10/18,578433
2020/10/19,568784
2020/10/20,377834
2020/10/21,1916097
2020/10/22,419899
2020/10/23,341751
2020/10/24,294186
2020/10/25,324167
2020/10/26,333753
2020/10/27,398860
2020/10/28,363144
2020/10/29,1107468
2020/10/30,402692
2020/10/31,418766
2020/11/1,2559781
2020/11/2,1457054
2020/11/3,1072209
2020/11/4,753615
2020/11/5,479779
2020/11/6,318452
2020/11/7,281976
2020/11/8,257508
2020/11/9,304313
2020/11/10,295014
2020/11/11,5032895
2020/11/12,1702619
2020/11/13,325284
2020/11/14,325982
2020/11/15,384154
2020/11/16,350588
2020/11/17,387570
2020/11/18,263175
2020/11/19,180153
2020/11/20,37566
2020/11/21,87290
2020/11/22,388835
2020/11/23,283068
2020/11/24,413258
2020/11/25,356863
2020/11/26,264534
2020/11/27,78428
2020/11/28,246258
2020/11/29,334615
2020/11/30,298943
2020/12/1,283460
2020/12/2,248983
2020/12/3,195619
2020/12/4,361049
2020/12/5,472260
2020/12/6,326629
2020/12/7,255205
2020/12/8,191510
2020/12/9,120921
2020/12/10,1363953
2020/12/11,264997
2020/12/12,559098
2020/12/13,2269431
2020/12/14,475395
2020/12/15,508865
2020/12/16,419030
2020/12/17,325831
2020/12/18,248724
2020/12/19,229214
2020/12/20,293045
2020/12/21,306746
2020/12/22,295205
2020/12/23,276031
2020/12/24,227148
2020/12/25,218626
2020/12/26,212197
2020/12/27,206752
2020/12/28,289914
2020/12/29,150911
2020/12/30,231411
2020/12/31,264060
2021/1/1,262679
2021/1/2,329913
2021/1/3,326639
2021/1/4,332120
2021/1/5,369690
2021/1/6,416957
2021/1/7,384281
2021/1/8,532690
2021/1/9,400241
2021/1/10,422882
2021/1/11,458557
2021/1/12,398038
2021/1/13,405110
2021/1/14,345766
2021/1/15,325543
2021/1/16,323339
2021/1/17,298193
2021/1/18,238910
2021/1/19,204730
2021/1/20,553596
2021/1/21,653413
2021/1/22,411191
2021/1/23,360680
2021/1/24,404031
2021/1/25,402160
2021/1/26,382008
2021/1/27,286720
2021/1/28,285983
2021/1/29,292032
2021/1/30,283874
2021/1/31,311894
2021/2/1,306377
2021/2/2,277790
2021/2/3,270850
2021/2/4,238798
